id,nome,tipo,setor,cidade,telefone,email,site,score,classificacao,status,ultimo_contato,proximo_followup,canal,notas
pet-shop-areao-taubate,Pet Shop Areão,b2c,Pet shop,Taubaté,+55 12 3624 2109,,,50,morno,novo,,,,
pizzaria-pequena-pizza-taubate,Pizzaria Pequena Pizza,b2c,Restaurante,Taubaté,+55 12 3602 2353,,,50,morno,novo,,,,
casa-de-racao-do-mineiro-taubate,Casa de Ração do Mineiro,b2c,Pet shop,Taubaté,+55 12 3622 6100,,,50,morno,novo,,,,
mercado-e-padaria-do-alemao-taubate,Mercado e Padaria do Alemão,b2c,Padaria,Taubaté,+55 12 3608 1585,,,50,morno,novo,,,,
restaurante-cantinho-da-roca-taubate,Restaurante Cantinho da Roca,b2c,Restaurante,Taubaté,+55 12 3025 4530,,,50,morno,novo,,,,
restaurante-reis-do-rango-taubate,Restaurante Reis do Rango,b2c,Restaurante,Taubaté,+55 11 3629 5069,,,50,morno,novo,,,,
o-sale-s-pizzas-e-espetos-taubate,O Sale's Pizzas e Espetos,b2c,Restaurante,Taubaté,+55 12 99126 5708,,,50,morno,novo,,,,
padaria-villa-taubate,Padaria Villa,b2c,Padaria,Taubaté,+55 12 3621 2855,,,50,morno,novo,,,,
pizzaria-conde-taubate,Pizzaria Conde,b2c,Restaurante,Taubaté,+55 12 3432 7222,,,50,morno,novo,,,,
california-panificadora-confeitaria-taubate,Califórnia Panificadora & Confeitaria,b2c,Padaria,Taubaté,+55 12 99673 5402,,,50,morno,novo,,,,
aldebara-pizzaria-e-esfiharia-taubate,Aldebarã Pizzaria e Esfiharia,b2c,Restaurante,Taubaté,+55 12 3432 4817,,,50,morno,novo,,,,
fish-world-taubate,Fish World,b2c,Pet shop,Taubaté,+55 12 3629 2173,,,50,morno,novo,,,,
delicias-caseiras-taubate,Delícias Caseiras,b2c,Restaurante,Taubaté,+55 12 99709-2346,,,50,morno,novo,,,,
agro-taubate-racoes-taubate,Agro Taubaté Rações,b2c,Pet shop,Taubaté,+55 12 3621-7110,,,50,morno,novo,,,,
padaria-leal-taubate-taubate,Padaria Leal Taubaté,b2c,Padaria,Taubaté,+55 12 3426-3400,,,50,morno,novo,,,,
alentejano-taubate,Alentejano,b2c,Restaurante,Taubaté,+55 12 3686-4576,,,50,morno,novo,,,,
panela-de-ferro-taubate,Panela de Ferro,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
le-bistro-taubate,Le Bistro,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
cantina-pizzaria-brunello-taubate,Cantina Pizzaria Brunello,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
panificadora-quiririm-taubate,Panificadora Quiririm,b2c,Padaria,Taubaté,,,,45,morno,novo,,,,
barbearia-do-veloso-taubate,Barbearia do Veloso,b2c,Salão de beleza,Taubaté,,,,45,morno,novo,,,,
padaria-da-praca-taubate,Padaria da Praça,b2c,Padaria,Taubaté,,,,45,morno,novo,,,,
divino-fogao-taubate,Divino Fogão,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
princesa-de-taubate-taubate,Princesa de Taubaté,b2c,Padaria,Taubaté,,,,45,morno,novo,,,,
academia-corpo-de-mulher-taubate,Academia Corpo de Mulher,b2c,Academia,Taubaté,,,,45,morno,novo,,,,
pani-independencia-taubate,Pani Independência,b2c,Padaria,Taubaté,,,,45,morno,novo,,,,
panihouse-taubate,PaniHouse,b2c,Padaria,Taubaté,,,,45,morno,novo,,,,
padaria-baronesa-taubate,Padaria Baronesa,b2c,Padaria,Taubaté,,,,45,morno,novo,,,,
padaria-pao-pao-taubate,Padaria Pão Pão,b2c,Padaria,Taubaté,,,,45,morno,novo,,,,
pani-sutani-taubate,Pani Sutani,b2c,Padaria,Taubaté,,,,45,morno,novo,,,,
padaria-delicias-do-papai-taubate,Padaria Delícias do papai,b2c,Padaria,Taubaté,,,,45,morno,novo,,,,
restaurante-e-cafe-da-praca-taubate,Restaurante e Café da Praça,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
rappi-10-taubate,Rappi 10,b2c,Restaurante,Taubaté,,,,45,morno,novo,2026-06-16,,,
neti-cabeleireira-taubate,Neti Cabeleireira,b2c,Salão de beleza,Taubaté,,,,45,morno,novo,,,,
academia-fox-taubate,Academia Fox,b2c,Academia,Taubaté,,,,45,morno,novo,,,,
barbearia-dominus-taubate,Barbearia Dominus,b2c,Salão de beleza,Taubaté,,,,45,morno,novo,,,,
bar-do-prego-taubate,Bar do Prego,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
fritz-cervejaria-artesanal-taubate,Fritz - cervejaria artesanal,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
caseh-restaurante-taubate,Caseh Restaurante,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
dida-cabeleira-taubate,Dida Cabeleira,b2c,Salão de beleza,Taubaté,,,,45,morno,novo,,,,
com-feito-de-armor-taubate,Com Feito de Armor,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
pizzaria-vila-velha-taubate,Pizzaria Vila Velha,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
cobasi-taubate,Cobasi,b2c,Pet shop,Taubaté,,,,45,morno,novo,,,,
academia-smartfit-taubate,Academia Smartfit,b2c,Academia,Taubaté,,,,45,morno,novo,,,,
fitness-club-taubate,Fitness Club,b2c,Academia,Taubaté,,,,45,morno,novo,,,,
academia-greenfit-taubate,Academia Greenfit,b2c,Academia,Taubaté,,,,45,morno,novo,,,,
major-pizzaria-taubate,Major pizzaria,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
academia-inova-taubate,Academia Inova,b2c,Academia,Taubaté,,,,45,morno,novo,,,,
raiz-beergarden-taubate,Raiz beergarden,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
maita-taubate,Maitá,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
palhoca-taubate,Palhoça,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
cafe-com-as-comadres-taubate,Café com as comadres,b2c,Cafeteria,Taubaté,,,,45,morno,novo,,,,
kidzoom-cabeleireiro-infantil-taubate,KidZoom Cabeleireiro Infantil,b2c,Salão de beleza,Taubaté,,,,45,morno,novo,,,,
honey-doces-taubate,Honey Doces,b2c,Cafeteria,taubaté,,,,45,morno,novo,,,,
salim-taubate,Salim,b2c,Restaurante,taubaté,,,,45,morno,novo,,,,
hood-barbearia-taubate,Hood Barbearia,b2c,Salão de beleza,Taubaté,,,,45,morno,novo,,,,
vilavi-cafe-bistro-taubate,ViLaVi Café Bistro,b2c,Cafeteria,Taubaté,,,,45,morno,novo,,,,
minuta-taubate,Minuta,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
pizza-por-metro-taubate,Pizza por Metro,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
jaba-do-riba-taubate,Jabá do Riba,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
restaurante-do-roberto-taubate,Restaurante do Roberto,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
bom-prato-de-taubate-taubate,Bom Prato de Taubaté,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
restaurante-frango-assado-taubate,Restaurante Frango Assado,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
panificadora-recanto-dos-coqueirais-taubate,Panificadora Recanto dos Coqueirais,b2c,Padaria,Taubaté,,,,45,morno,novo,,,,
s-pilates-taubate,S-Pilates,b2c,Academia,Taubaté,,,,45,morno,novo,,,,
pizza-nostra-taubate,Pizza Nostra,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
restaurante-bica-do-curio-taubate,Restaurante Bica do Curió,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
bar-e-restaurante-do-roberto-taubate,Bar e Restaurante do Roberto,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
norma-da-casa-taubate,Norma da Casa,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
academia-drop-fit-taubate,Academia Drop Fit,b2c,Academia,Taubaté,,,,45,morno,novo,,,,
padaria-do-jarbas-taubate,Padaria do Jarbas,b2c,Padaria,Taubaté,,,,45,morno,novo,,,,
luciana-ribeiro-estetica-e-cosmetologia-taubate,Luciana Ribeiro Estética e Cosmetologia,b2c,Salão de beleza,Taubaté,,,,45,morno,novo,,,,
babbo-giovanni-taubate,Babbo Giovanni,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
cantina-indiani-taubate,Cantina Indiani,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
taqui-taubate,Taqui,b2c,Academia,Taubaté,,,,45,morno,novo,,,,
padaria-continental-taubate,Padaria Continental,b2c,Padaria,Taubaté,,,,45,morno,novo,,,,
capellato-restaurante-e-rotisserie-taubate,Capellato Restaurante e Rotisserie,b2c,Restaurante,Taubaté,,,,45,morno,novo,,,,
comercios-taubate,Comercios,b2c,Cafeteria,Taubaté,,,,45,morno,novo,,,,
toscana-taubate,Toscana,b2c,Restaurante,Taubaté,+55 12 3622 5557,,http://www.toscanataubate.com.br/,40,morno,novo,,,,
atus-odontologia-taubate,Atus Odontologia,b2c,Odontologia,taubaté,,,https://atusodontologia.com,35,morno,novo,,,,
